epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.746,1.50887,3.03927,1.92859,0.55003,0.39414,0.43055,0.18737,1.73115,2.92268,2.01846,0.00332722,0.00332722,0.00332722
1,192.101,1.50887,3.03927,1.92859,0.55003,0.39414,0.43055,0.18737,1.73115,2.92268,2.01846,0.00332722,0.00332722,0.00332722
2,312.899,1.52072,2.38245,1.95467,0.57196,0.50376,0.47849,0.21003,1.87175,2.25719,2.21392,0.0066056,0.0066056,0.0066056
2,361.834,1.52072,2.38245,1.95467,0.57196,0.50376,0.47849,0.21003,1.87175,2.25719,2.21392,0.0066056,0.0066056,0.0066056
3,478.346,1.63352,2.27454,2.06624,0.34092,0.39303,0.30761,0.12251,2.12443,2.66157,2.58475,0.00982898,0.00982898,0.00982898
3,524,1.63352,2.27454,2.06624,0.34092,0.39303,0.30761,0.12251,2.12443,2.66157,2.58475,0.00982898,0.00982898,0.00982898
4,648.631,1.65674,2.20607,2.10785,0.4558,0.45992,0.41766,0.14088,1.99434,2.39295,2.30368,0.0097525,0.0097525,0.0097525
4,688.34,1.65674,2.20607,2.10785,0.4558,0.45992,0.41766,0.14088,1.99434,2.39295,2.30368,0.0097525,0.0097525,0.0097525
5,810.042,1.59727,2.07105,2.04038,0.65083,0.52348,0.54704,0.28075,1.73889,1.89702,2.11582,0.00967,0.00967,0.00967
5,874.225,1.59727,2.07105,2.04038,0.65083,0.52348,0.54704,0.28075,1.73889,1.89702,2.11582,0.00967,0.00967,0.00967
6,962.111,1.532,1.95645,1.99551,0.63633,0.53608,0.56176,0.29116,1.65018,1.85411,2.00187,0.0095875,0.0095875,0.0095875
7,1116,1.48417,1.86003,1.94604,0.6755,0.52882,0.57616,0.29878,1.65494,1.79731,2.04985,0.009505,0.009505,0.009505
6,1056,1.532,1.95645,1.99551,0.63633,0.53608,0.56176,0.29116,1.65018,1.85411,2.00187,0.0095875,0.0095875,0.0095875
8,1277.58,1.45475,1.7923,1.91111,0.61295,0.54291,0.55165,0.2923,1.59317,1.82333,1.97336,0.0094225,0.0094225,0.0094225
7,1230.48,1.48417,1.86003,1.94604,0.6755,0.52882,0.57616,0.29878,1.65494,1.79731,2.04985,0.009505,0.009505,0.009505
9,1440.57,1.42308,1.74019,1.88527,0.76574,0.61281,0.68181,0.38171,1.52784,1.51632,1.89385,0.00934,0.00934,0.00934
8,1395.27,1.45475,1.7923,1.91111,0.61295,0.54291,0.55165,0.2923,1.59317,1.82333,1.97336,0.0094225,0.0094225,0.0094225
10,1603.8,1.40065,1.66681,1.86152,0.72535,0.59057,0.64692,0.37126,1.522,1.52194,1.90886,0.0092575,0.0092575,0.0092575
9,1560.29,1.42308,1.74019,1.88527,0.76574,0.61281,0.68181,0.38171,1.52784,1.51632,1.89385,0.00934,0.00934,0.00934
